iter	RMSE
0	20.07329029
1	19.29508814
2	18.5659955
3	17.89049391
4	17.24091182
5	16.62870891
6	16.05393747
7	15.52312202
8	15.02257227
9	14.54177305
10	14.09578191
11	13.68429097
12	13.29194409
13	12.96619916
14	12.6239163
15	12.30193675
16	12.02032101
17	11.75203978
18	11.49534045
19	11.26166349
20	11.04459114
21	10.84271793
22	10.68016491
23	10.50919538
24	10.34730039
25	10.20024586
26	10.06431238
27	9.938860815
28	9.831128053
29	9.722513464
30	9.630684915
31	9.540568482
32	9.471796124
33	9.399068148
34	9.327468208
35	9.262084334
36	9.202476092
37	9.147789104
38	9.098646435
39	9.05160079
40	9.012892616
41	8.973031707
42	8.937688356
43	8.902364735
44	8.870547012
45	8.843596361
46	8.822490816
47	8.799391606
48	8.776988202
49	8.756885192
50	8.738247714
51	8.725308571
52	8.708131395
53	8.694683769
54	8.680029514
55	8.667434237
56	8.654485686
57	8.642231148
58	8.631421135
59	8.621845945
60	8.616398726
61	8.608067032
62	8.598334602
63	8.593445802
64	8.587788507
65	8.58104606
66	8.574174545
67	8.568797102
68	8.563089904
69	8.557788549
70	8.55345673
71	8.548443858
72	8.544960323
73	8.543356794
74	8.538088804
75	8.53023315
76	8.525702365
77	8.519738023
78	8.517204214
79	8.513176252
80	8.510062293
81	8.503642872
82	8.500819886
83	8.492409422
84	8.489745267
85	8.486974823
86	8.480694382
87	8.476909533
88	8.471155074
89	8.465830615
90	8.463066902
91	8.462469021
92	8.459865019
93	8.453692008
94	8.446678299
95	8.442643155
96	8.435811734
97	8.432132692
98	8.430794971
99	8.4260872
100	8.42304353
101	8.421091609
102	8.417811895
103	8.413441018
104	8.411897688
105	8.409765203
106	8.408134938
107	8.405030772
108	8.403824817
109	8.400627846
110	8.398366366
111	8.395775884
112	8.39384858
113	8.391046193
114	8.388920022
115	8.386684876
116	8.384277403
117	8.382825747
118	8.379909302
119	8.375421138
120	8.372776767
121	8.370142193
122	8.368844371
123	8.365590958
124	8.362235586
125	8.358741622
126	8.356189831
127	8.355133105
128	8.352297265
129	8.34873217
130	8.345647725
131	8.343247114
132	8.338745753
133	8.338727063
134	8.336257227
135	8.332763986
136	8.331642258
137	8.327690217
138	8.324250942
139	8.31995366
140	8.315100558
141	8.312635537
142	8.307026047
143	8.304532335
144	8.298641865
145	8.295926114
146	8.29275669
147	8.29045705
148	8.287021863
149	8.282987972
150	8.280120914
151	8.274658925
152	8.273025509
153	8.270210796
154	8.268590329
155	8.265167391
156	8.261819548
157	8.260092908
158	8.255782439
159	8.250870575
160	8.242852538
161	8.240595632
162	8.238441206
163	8.232307015
164	8.228375143
165	8.226151578
166	8.220747417
167	8.218619761
168	8.213042386
169	8.21018643
170	8.207211363
171	8.201856034
172	8.198258027
173	8.195112099
174	8.191172932
175	8.188932241
176	8.185968587
177	8.183380178
178	8.178826391
179	8.176594058
180	8.17308643
181	8.16649055
182	8.162391724
183	8.16075655
184	8.157363471
185	8.154844881
186	8.149164499
187	8.147138379
188	8.144233211
189	8.13899562
190	8.137250685
191	8.134656371
192	8.13259969
193	8.128821402
194	8.124067796
195	8.119906725
196	8.114760362
197	8.113095988
198	8.110678347
199	8.108539242
200	8.105228196
201	8.099342209
202	8.094977977
203	8.092517285
204	8.08879627
205	8.086504239
206	8.084532954
207	8.081812575
208	8.078399594
209	8.075521035
210	8.071283149
211	8.068627958
212	8.063616245
213	8.055947862
214	8.051076921
215	8.048859902
216	8.044882808
217	8.040830052
218	8.039816218
219	8.035289245
220	8.032617376
221	8.02980367
222	8.025855335
223	8.023775043
224	8.021418946
225	8.01996017
226	8.016140171
227	8.012728526
228	8.010902441
229	8.008531907
230	8.004987791
231	8.001982143
232	7.997816247
233	7.995916868
234	7.992990276
235	7.987319556
236	7.984144062
237	7.979559264
238	7.977342205
239	7.974595756
240	7.969081205
241	7.964168099
242	7.960208563
243	7.954693502
244	7.951146249
245	7.947222278
246	7.942232238
247	7.940303767
248	7.938595244
249	7.936735546
250	7.934319491
251	7.927877453
252	7.92262462
253	7.920191752
254	7.917288227
255	7.913587908
256	7.90935253
257	7.906634995
258	7.902710397
259	7.898986616
260	7.896270726
261	7.894584367
262	7.890445434
263	7.886840502
264	7.883587167
265	7.882081848
266	7.877715149
267	7.873644716
268	7.870143888
269	7.86762199
270	7.863846351
271	7.860021606
272	7.857165653
273	7.853088905
274	7.849139832
275	7.845446027
276	7.843690618
277	7.838827018
278	7.835258807
279	7.831507888
280	7.826236275
281	7.824373531
282	7.822709245
283	7.818960072
284	7.815674194
285	7.814316762
286	7.810402069
287	7.806002632
288	7.803229326
289	7.8006015
290	7.798963852
291	7.795277718
292	7.792612709
293	7.790895002
294	7.78943336
295	7.78801784
296	7.784629657
297	7.781184814
298	7.778765824
299	7.776014748
