iter	Passed	Remaining
0	151	45411
1	156	23261
2	160	15876
3	164	12171
4	166	9806
5	169	8313
6	172	7227
7	177	6469
8	181	5862
9	185	5375
10	188	4949
11	192	4622
12	195	4317
13	196	4008
14	200	3801
15	202	3602
16	206	3439
17	210	3298
18	212	3146
19	216	3024
20	218	2903
21	221	2798
22	221	2672
23	223	2570
24	226	2491
25	228	2412
26	231	2339
27	234	2273
28	236	2211
29	238	2148
30	240	2089
31	243	2036
32	243	1972
33	244	1916
34	247	1872
35	249	1828
36	251	1785
37	253	1745
38	255	1707
39	256	1669
40	258	1630
41	259	1594
42	261	1561
43	263	1530
44	264	1499
45	266	1469
46	266	1436
47	268	1408
48	269	1381
49	271	1355
50	272	1331
51	274	1307
52	275	1285
53	277	1262
54	278	1240
55	279	1219
56	281	1198
57	282	1178
58	284	1160
59	285	1141
60	286	1121
61	287	1104
62	289	1087
63	290	1069
64	291	1053
65	292	1038
66	294	1023
67	295	1008
68	297	994
69	298	980
70	299	966
71	300	952
72	302	940
73	302	924
74	304	912
75	305	900
76	306	888
77	308	878
78	309	867
79	311	856
80	312	845
81	314	835
82	315	825
83	317	815
84	318	806
85	320	796
86	321	787
87	323	778
88	324	769
89	326	760
90	327	751
91	328	742
92	329	734
93	331	725
94	332	717
95	334	709
96	335	702
97	336	694
98	338	686
99	339	679
100	341	672
101	342	664
102	343	657
103	345	650
104	346	643
105	347	636
106	349	630
107	351	624
108	352	617
109	353	610
110	355	604
111	356	598
112	357	592
113	359	586
114	360	580
115	361	573
116	363	567
117	364	561
118	366	556
119	368	552
120	369	546
121	370	541
122	372	535
123	373	530
124	375	525
125	376	520
126	378	515
127	379	510
128	380	505
129	382	500
130	383	495
131	385	490
132	386	485
133	387	479
134	388	474
135	389	470
136	391	465
137	392	460
138	393	456
139	395	451
140	396	447
141	398	442
142	399	438
143	400	434
144	402	430
145	403	425
146	404	421
147	406	417
148	407	412
149	408	408
150	410	404
151	411	400
152	413	396
153	414	393
154	415	389
155	417	385
156	418	381
157	419	377
158	421	373
159	422	369
160	424	366
161	425	362
162	427	359
163	428	355
164	429	351
165	431	348
166	432	344
167	434	341
168	435	337
169	436	334
170	438	330
171	439	327
172	440	323
173	442	320
174	443	316
175	445	313
176	446	310
177	447	306
178	449	303
179	450	300
180	451	297
181	453	294
182	454	290
183	456	287
184	457	284
185	459	281
186	460	278
187	461	275
188	463	271
189	464	268
190	465	265
191	466	262
192	468	259
193	469	256
194	471	253
195	472	250
196	474	248
197	476	245
198	477	242
199	479	239
200	480	236
201	481	233
202	483	230
203	484	228
204	486	225
205	487	222
206	489	219
207	491	217
208	492	214
209	494	211
210	495	209
211	497	206
212	498	203
213	500	201
214	502	198
215	504	196
216	505	193
217	506	190
218	508	188
219	510	185
220	511	182
221	512	180
222	514	177
223	515	175
224	517	172
225	518	169
226	520	167
227	521	164
228	523	162
229	524	159
230	526	157
231	527	154
232	529	152
233	530	149
234	532	147
235	533	144
236	535	142
237	536	139
238	538	137
239	539	134
240	541	132
241	542	130
242	544	127
243	545	125
244	547	122
245	548	120
246	549	117
247	551	115
248	552	113
249	554	110
250	555	108
251	556	106
252	558	103
253	559	101
254	561	99
255	562	96
256	564	94
257	565	92
258	567	89
259	568	87
260	570	85
261	571	82
262	573	80
263	574	78
264	575	76
265	577	73
266	578	71
267	580	69
268	581	67
269	582	64
270	584	62
271	585	60
272	587	58
273	588	55
274	590	53
275	591	51
276	593	49
277	594	47
278	595	44
279	597	42
280	598	40
281	599	38
282	601	36
283	602	33
284	603	31
285	605	29
286	606	27
287	608	25
288	609	23
289	610	21
290	612	18
291	613	16
292	614	14
293	616	12
294	617	10
295	618	8
296	620	6
297	621	4
298	622	2
299	624	0
